企業名,Tier,取引,"スコア
リング","Riskdog
業界スコア","従業員数
スコア","調整
スコア","フォーム営業
フォームA
（信販）","フォーム営業
フォームA
（不動産）","DM送付先部署名
（コンプラDB版）","DM送付先部署電話番号
（コンプラDB版）","DM送付状況
（コンプラDB版）","DM送付日
（コンプラDB版）",メイン業界,メイン小業界,Riskdog業界,会社サイトURL,設立年月,上場種別,サブ業界,業態,"ToC
メインフラグ","ホールディングス
フラグ",信金フラグ,強制減点,事業内容一言説明,企業概要,事業内容キーワード,従業員数,売上高,売上予測,資本金,決算月,店舗数,事業所数,法人番号,郵便番号（本社住所）,本社住所,郵便番号（登記住所）,現住所,代表電話番号,FAX番号,代表メールアドレス,お問い合わせURL,備考
株式会社ユニヴァ・ペイキャスト,Tier1,なし,128,96,32,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://univapaycast.com,2001-11,未上場,システム開発業界の会社|クラウド・フィンテック業界の会社|Webサービス・アプリ運営業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,「UnivaPay」を核とした多通貨多決済手段のオンライン・オフライン統合決済プラットフォームを提供する会社,決済ソリューションを核に、オンライン／オフライン双方と連携する「UnivaPay」プラットフォームを提供。ECサイト・店頭の決済端末・IoT自販機・無人決済・テーブルオーダー等多様なチャネルと連携し、多国通貨・多種決済手段の一括導入を強みとする。ミニアプリ開発支援や地域活性化サービス「ココふる」等の付加価値事業も展開する。,スマートフォンアプリ開発|電子決済システム開発|電子決済サービス|決済代行,88,,8875641724,53000000,3,0,2,7010701019414,1060032,東京都港区六本木3-16-35 イースト六本木ビル2F,106-0032,東京都港区六本木３丁目１６番３５号,03-6441-3400,03-5545-7520,,https://univapaycast.com/contact/,
株式会社ジェイブリッツ,Tier1,なし,124,96,28,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,http://www.jblitz.co.jp/company.html,1995-10,未上場,,BtoB,FALSE,FALSE,FALSE,FALSE,クレジットカード加盟店募集や決済代行を中心に端末導入・運用支援を全国展開する決済サービス企業会社,決済サービス事業者として、クレジットカード加盟店募集・決済代行（アクワイアリング）を中心に事業を展開する。主な端末としてPanasonic JT-C17/JT-C07の導入・保守を提供し、電子マネー対応や非接触決済、端末識別番号管理、売上票保管・回収サポートなど運用面の支援を行う。全国拠点網で多業態の店舗を対象に加盟店契約受託・管理と導入支援を提供する。,システム導入支援|電子決済サービス|収納代行・代金回収|決済代行|契約代行,42,,2646167602,50000000,3,0,5,1010401012526,1050003,東京都港区西新橋3-23-11 御成門小田急ビル5階,105-0003,東京都港区西新橋３丁目２３番１１号,03-5777-0711,03-5777-0712,,http://www.jblitz.co.jp/contact.html,
株式会社Ｋｏｒｔ　Ｖａｌｕｔａ,Tier1,なし,124,96,28,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, クレジットカード発行・ローン提供（信販・銀行系）",http://kortvaluta.com,2014-8,未上場,クラウド・フィンテック業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,FinTechとHealthTechの統合IDTechを核に、決済プラットフォームとカード発行を提供する会社,FinTechとHealthTechを融合したIDTechを核に、決済プラットフォームとカード発行を提供。Visaプリペイド発行・第三者型決済手段登録および資金移動業登録を取得、デジタルID・会員基盤と連携した決済・認証・会員管理を柔軟に拡張。ウェアラブル「TwooCa Ring」による決済機能と健康データのスコアリングで新たな信用創造を目指す。,データ管理|電子決済システム開発|顧客管理システム開発|電子決済サービス|クレジットカード発行|決済代行|ウェアラブル端末製造,38,,783587759,2146000000,3,0,0,3010401113537,1500002,東京都渋谷区渋谷3-11-2 渋谷パインビル 4F,150-0002,東京都渋谷区渋谷３丁目１１番２号渋谷パインビル４階,03-6303-2555,,sales@kortvaluta.biz,https://kortvaluta.com/inquiry/,
イーウォレット株式会社,Tier1,なし,124,96,28,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://www.e-wallet.jp,2012-3,未上場,ITコンサルティング業界の会社|クラウド・フィンテック業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,「オールインウォレット（AIW）」を軸にEC/オンライン決済導入支援と接続、複数決済手段の一元管理と定期課金対応を提供する会社,EC・オンライン決済の導入支援・接続を提供し、複数決済手段を一元管理する自社モジュール「オールインウォレット（AIW）」を中核に据える。決済コンサルティングと口座振替Web受付を併売し、管理画面で取引を一元管理、定期課金・サブスクリプションにも対応。幅広い金融機関対応と個別加盟店審査支援を特徴とする。,システムインテグレーション（SI）|システム導入支援|電子決済システム販売|電子決済サービス|決済代行|電子モジュール販売,46,,1538019062,10000000,3,0,0,7013301031862,1630215,東京都新宿区西新宿2-6-1 新宿住友ビル15F,160-0023,東京都新宿区西新宿２丁目６番１号,03-5962-0257,,,https://www.e-wallet.jp/contact/,
株式会社エム・ピー・ソリューション,Tier1,なし,124,96,28,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://mp-solution.com,2006-9,未上場,ITコンサルティング業界の会社|クラウド・フィンテック業界の会社,BtoB|CtoC,FALSE,FALSE,FALSE,FALSE,無人機・自販機向け多ブランド決済端末と導入運用を一括管理する決済ソリューション会社,無人機・自動機・自販機向けのマルチブランド決済端末とサービスをワンストップで提供する決済ソリューション企業。JMMSは50種超のブランド対応と端末IM10を核に、加盟契約から運用まで一括管理し導入を促進。KAZAPiはNECグループと協業し、通信内蔵端末で即時導入と一本化した決済管理を実現。コンサルティング、運用代行、教育、サポートを含む導入支援も強み。,システム導入支援|業務システム運用支援|電子決済システム販売|電子決済サービス|決済代行|通信機器販売,35,,2942154571,90910000,,0,0,2010401078590,1050001,東京都港区虎ノ門2-10-４ オークラプレステージタワ 8階,105-0001,東京都港区虎ノ門２丁目１０番４号オークラプレステージタワー８階,03-6229-3680,,,https://mp-solution.com/contact/,
アークシステムテクノロジーズ株式会社,Tier1,なし,117,85,32,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"家賃債務保証・不動産系金融サービス, 加盟店向け決済代行・決済プラットフォーム",http://arktech.ne.jp,2000-5,未上場,その他不動産管理業界の会社,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,賃貸管理向けのオンライン決済・口座振替登録を核に、家賃回収代行と信託運用を組み合わせて賃貸管理リスクを総合サポートする会社,オンライン決済・口座振替登録を中心とし、賃料回収代行・家賃管理支援を提供。受託した家賃等を信託財産として分別管理し、毎月一定日に指定口座へ送金する一次決済機能を有する。滞納保証を含む幅広い保証商品や信託運用サービスを組み合わせ、賃貸管理リスクを総合的にサポートする。,債権管理|集金代行|財産管理|賃貸管理|電子決済サービス|決済代行|賃貸家賃保証,74,,6969423029,79450000,,1,0,8290001046857,8120016,福岡県福岡市博多区博多駅南1-3-11,812-0016,福岡県福岡市博多区博多駅南１丁目３番１１号ＫＤＸ博多南ビル９Ｆ,09-2433-7330,,,https://arktech.ne.jp/contact/contact.php/,
大樹収納サービス株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://www.taijusyuno.co.jp,1987-12,未上場,事務処理代行業界の会社,BtoB,FALSE,FALSE,FALSE,FALSE,請求データの受領・口座振替・各種決済代行と入金管理を行い、オンライン顧客ポータルを提供する会社,収納代行（集金代行）と送金代行を中心に、請求データの受領・口座振替・各種決済の取扱、入金管理と委託事務、オンライン顧客ポータルの提供を行う。顧客向けサイトは運用時間を整備し、複数金融機関と連携した口座振替の対応拡充を特徴とする。プライバシーマーク取得と大樹生命グループの支援による信用力が強み。,BPO関連サービス提供|集金代行|電子決済サービス|収納代行・代金回収|決済代行,16,,535527019,,,0,0,8040001065650,1250041,東京都葛飾区東金町6-6,125-0041,東京都葛飾区東金町６丁目６番５号,03-5648-7191,,,https://www.taijusyuno.co.jp/contact/,
株式会社Ｙｅｎｙ,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, クレジットカード発行・ローン提供（信販・銀行系）",https://yeny.jp/company/,2018-12,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,Visaプリペイド発行と「PayBlend」決済プラットフォームを軸に、アプリ即時発行の「ultra pay カード」と嵌め込み型金融を活用する法人向けブランド決済ソリューションを提供する会社,FinTech領域に特化し、Visaプリペイドカードの発行と事業者向け決済プラットフォーム「PayBlend」を提供。アプリから即時発行可能な「ultra pay カード」を中心に、プリペイドギフト「ULTRAギフトカード」や嵌め込み型金融を外部パートナーと連携して実装。3-Dセキュア対応と法令遵守体制を整え、スポーツクラブやアニメタイアップなどのブランド決済導入を支援する。,スマートフォンアプリ開発|電子決済システム開発|金券・ギフト券（商品券・旅行券・図書カード等）販売|電子決済サービス|決済代行,18,,2321622256,100000000,,0,0,6011101086450,1600023,東京都新宿区西新宿8-17-1,160-0023,東京都新宿区西新宿８丁目１７番１号,,,,https://yeny.jp/inquiry_form/,
株式会社クレセント,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,"加盟店向け決済代行・決済プラットフォーム, 特定業界向けファイナンス・加盟店型ローン",http://cre-cent.jp,2007-11,未上場,システム開発業界の会社|クラウド・フィンテック業界の会社|システム受託開発業界の会社,BtoB|CtoC,FALSE,FALSE,FALSE,FALSE,オンラインローン申込システムを核に、決済導入・バックオフィス業務を一括支援する金融関連サービスを提供する会社,オンラインローン申込システム「Finance Platform Facres」を核に、販売店向け決済・自社クレジット管理、提携ショッピングローン導入支援を提供。クレジット事務代行・バックヤード業務、カード決済導入支援、電子契約連携、カスタム管理システム構築、コールセンター/BPOを一貫運用する。導入前計画から運用・分析・顧客フォローまで対応するワンストップ体制が特徴。,電子決済システム開発|システム導入支援|システム管理支援|業務システム運用支援|決済代行,16,,333279934,30000000,,0,1,9160001004001,5250035,滋賀県草津市西草津1-8-26 F.S.Pビル2F,525-0035,滋賀県草津市西草津１丁目８番２６号,07-7567-9059,07-7567-9069,,https://cre-cent.jp/contact/,
ＧＭＯカードシステム株式会社,Tier1,なし,116,96,20,0,対象先,,,,,,金融業界の会社,クレジット・信販・決済代行業界の会社,加盟店向け決済代行・決済プラットフォーム,https://gmo-cas.com,2007-12,未上場,,BtoB|BtoC,FALSE,FALSE,FALSE,FALSE,実店舗向け多ブランド決済と導入支援を一括で提供するカード決済サービスと端末運用保守を行う会社,実店舗向けクレジットカード決済サービスの提供と導入支援を一貫して行い、CAT端末の設置・設定・運用・保守までをサポートする。加盟店契約の取次、決済手数料の見直し、乗り換え支援、券売機決済の導入相談にも対応。多ブランド・多決済手段に対応するハイブリッド端末「ster a terminal」や「VEGA3000 Touch」を中心に、国内メーカー保守体制とプライバシーマーク取得を特徴とする。導入は迅速で、手続きの簡素化とサポート体制が強みである。,システム導入支援|業務システム運用支援|電子決済システム販売|電子決済サービス|契約代行,17,,319552694,10000000,,0,0,4011001065184,1500043,東京都渋谷区道玄坂1-14-6,150-0043,東京都渋谷区道玄坂１丁目１４番６号,03-6805-0039,03-6805-0239,,https://gmo-cas.com/form-terminal/,
